Name (Required),Company,Position,Location,Bio/Description,Link To Image File
Jakob Lorberblatt,"Pythian Services, Inc.",Lead Database Consultant,,"Jakob Lorberblatt is a Lead Database Consultant working with Pythian, a premier MySQL database consulting provider. 20 years of obsession with open source technology has led to pursuit of an ongoing and evolving interest including 10 years of combined database administration and 10+ years of Linux Administration. In his spare time he enjoys North Carolina's outdoors and spending time with his family.",https://avatars.sched.co/2/fa/14629698/avatar.jpg.320x320px.jpg?c74
Matt Lord,Planetscale,Principal Engineer,,Matt Lord has spent the last 20+ years working in the database space both as a producer at MySQL and MongoDB and as a consumer at WeWork and Etsy. Today he leverages these decades of experience to help make Vitess the best Open Source solution for running MySQL at scale and supporting the PlanetScale team as we revolutionize the database developer experience.,https://avatars.sched.co/9/35/14598774/avatar.jpg.320x320px.jpg?002
Junyi Lu,Meta/Facebook,Production Engineer,,"Junyi Lu is currently working at Meta (Facebook) as a production engineer for the MySQL infrastructure team. Responsible for developing automations which manage tons of MySQL instances at Facebook scale. Prior to this, he worked as a MySQL DBA at dianping.com, which is one of the biggest online-to-offline platforms in China.",https://avatars.sched.co/a/66/14598810/avatar.jpg.320x320px.jpg?37b
Denis Magda,Yugabyte,Head of Developer Relations,,"Denis Magda has spent half of his career working on distributed systems, applications, and databases. His experience spans from the development of distributed database engines and high-performance applications to training and education on the topic of distributed and cloud computing.<br>Presently, Denis runs the Developer Relations team at Yugabyte and serves as a PMC Member for Apache Ignite. He started his professional career at Sun Microsystems and Oracle, where he led a Java development group and worked on technology evangelism efforts.",https://avatars.sched.co/5/d9/10489345/avatar.jpg.320x320px.jpg?f0b
Robert Mandeville,Solarwinds,"Manager, Sales Engineering",,"Robert is a technologist with a passion for all things database. He has a deep knowledge with PostgreSQL, Oracle, SQL Server, GIS extensions, performance tuning, and design. Robert has over 20+ years of experience with a variety of companies from government to aerospace to startups in technical operations, support, and technical sales.",https://avatars.sched.co/3/51/1103476/avatar.jpg.320x320px.jpg?c6d
Yoshinori Matsunobu,Meta,Production Engineer,,"Yoshinori Matsunobu is a Production Engineer of Online Datastore technology stacks at Meta (Facebook). Yoshinori is an author of MyRocks (https://vldb.org/pvldb/vol13/p3217-matsunobu.pdf), and has been helping MySQL and RocksDB work well in production for years.",https://avatars.sched.co/2/F6/4050407/avatar.jpg.320x320px.jpg?a3c
Colin McDonnell,EdgeDB,Head of Developer Relations,,"Colin is the Head of Developer Relations at EdgeDB, diehard TypeScripter, and creator of Zod and tRPC. He lives in Seattle and drinks too much Diet Dr. Pepper.",https://avatars.sched.co/7/a7/14778435/avatar.jpg.320x320px.jpg?a88
Puneeth Melavoyraja,Venmo (Pay Pal),Senior Software Engineer,,"Puneeth is a senior software engineer at Venmo (Paypal), focusing on platform infrastructure engineering. He has four years of experience working on the performance and scalability as well as working on developing and managing python-based applications on Kubernetes cloud infrastructure.",https://avatars.sched.co/1/0a/14722764/avatar.jpg.320x320px.jpg?eb2
Jim Mlodgenski,Amazon,Principal Database Engineer,,"Jim has more than 20 years of experience developing data intensive applications and infrastructure. Prior to joining AWS, Jim was CTO at OpenSCG and CEO at StormDB, a Postgres-XC scalable public cloud solution. Prior to StormDB, Jim was chief architect at EnterpriseDB, leading the firm’s technology direction, including its early cloud offerings and other product lines. Jim also very active in the PostgreSQL community, co-founding both the New York and Philadelphia PostgreSQL Meetup groups, and co-organizing the largest PostgreSQL conferences. Jim also speaks regularly at PostgreSQL and other open sources conferences.",https://avatars.sched.co/d/24/14598590/avatar.jpg.320x320px.jpg?bae
Bruce Momjian,EDB,"Vice President, Postgres Evangelist","Newtown Square, PA, USA","Bruce Momjian is co-founder and core team member of the PostgreSQL Global Development Group, and has worked on PostgreSQL since 1996. He has been employed by EDB since 2006. He has spoken at many international open-source conferences and is the author of PostgreSQL: Introduction and Concepts, published by Addison-Wesley. Prior to his involvement with PostgreSQL, Bruce worked as a consultant, developing custom database applications for some of the world's largest law firms. As an academic, Bruce holds a Masters in Education, an honorary doctorate, was a high school computer science teacher, and lectures internationally.",https://avatars.sched.co/8/ff/11750058/avatar.jpg.320x320px.jpg?bb8
Barry Morris,,"GM ElastiCache, Timestream and DocumentDB",,"As General Manager of ElastiCache, Timestream and DocumentDB, Barry manages a number of businesses in the AWS database portfolio.  He is focused on delivering value to AWS customers through trusted data management services, with a relentless commitment to database innovation.<br>Prior to joining AWS in 2020, his career includes over 20 years as the CEO of international technology companies, both private and public, including Undo.io, NuoDB, StreamBase, Headway, and IONA Technologies. Barry has also had leadership roles in PROTEK, Metrica, Lotus Development and DEC.<br>Born in South Africa, Barry lived in England and Ireland before moving to Boston. He holds a Bachelor’s Degree (BA) in engineering from Oxford University and an Honorary Doctorate in Business Administration (DBA) from the IMCA.",https://avatars.sched.co/6/6a/14855721/avatar.jpg.320x320px.jpg?7ca
Simon Mudd,Booking.com,Senior Site Reliability Engineer (Databases),,,https://avatars.sched.co/8/8b/14603235/avatar.jpg.320x320px.jpg?4f7
David Murphy,Amach.ie,,,"David is a Principal Architect in SRE, Database, Security, and Cloud. Previously he was the Practice Manager for MongoDB at Percona, and before that, he was one of the early members for ObjectRocket the leader in DBaaS for MongoDB specializing in performance. Other previous roles include Database System and Technology Architect as Electronic Arts. As a speaker, he prefers to focus on solutions in the real world to issues, to this point he tries to regularly publish code to help everyone use his solutions or have ideas to inspire their own. Additionally, he is a Mongo Master Alumni and core code contributor to MongoDB, MySQL, and other open-source technologies.",https://avatars.sched.co/5/a9/14598527/avatar.jpg.320x320px.jpg?7bb
Pradeep Nayak,Meta/Facebook,Production Engineering Manager,,Pradeep is a production engineering manager at Meta (Facebook). He currently supports the production engineering teams within MySQL Infrastructure at Meta. Previously he was an engineer on the same team and has built out the automations and tooling required for migrating Meta's mysql from 5.6 -> 8.0.,https://avatars.sched.co/a/7a/5874475/avatar.jpg.320x320px.jpg?248
Arlindo Neto,Percona,MongoDB DBA,,MongoDB DBA at Percona - Managed Services<br><br>I will talk about MongoDB change streams,https://avatars.sched.co/d/bb/14601987/avatar.jpg.320x320px.jpg?0b3
Daniel Nichter,Block,DBA,,"Daniel Nichter is a DBA with over 15 years of experience with MySQL. He started optimizing MySQL performance in 2004 while working in a data center. Soon after, he created HackMySQL.com to share information and tools about MySQL. Daniel is most known for the tools he published during his eight-year tenure at Percona, several of which remain the de facto standard and in use at the largest tech companies in the world. He is also a MySQL Community Award winner, conference speaker, and wide-ranging open source contributor. Daniel currently works as a DBA and software engineer at Block (Square and Cash App), a fintech company with thousands of MySQL servers.",https://avatars.sched.co/1/9f/14622425/avatar.jpg.320x320px.jpg?f11
Michal Nosek,Percona,Enterprise Architect,Poland,"During ten years of his career, Michal took different roles from a software engineer and business analyst to a technical sales consultant, always staying close to the technology. He has hands-on experience with a broad range of programming languages and database technologies in different verticals.<br><br>As an Enterprise Architect at Percona, Michal’s objective is to bridge the gap between database technologies and business outcomes by providing customers with appropriate strategies and open-source database solutions. He works with companies on (almost) all continents.<br><br>Michal holds a BS degree in Computer and Information Science from the Cracow University of Technology. He lives in Gdansk, Poland. In his spare time, Michal enjoys traveling and windsurfing.",https://avatars.sched.co/c/92/11733057/avatar.jpg.320x320px.jpg?fd0
Taras Onishchuk,Percona,MySQL DBA,,"Taras has studied Mechanical Engineering and holds a Master's Degree in Aircraft Engines and Power Plants, but has always been passionate about computers and IT. As a junior student, he started working in the web hosting industry. Since 2012, Taras has been part of the DB Ops team in a tech company, managing software databases; and has also received a diploma in Software Engineering. Before joining Percona in early 2019, he worked for 5 years as a MySQL and Elasticsearch DBA in the geolocation/geofencing and fraud prevention industry.",https://avatars.sched.co/0/c1/14617061/avatar.jpg.320x320px.jpg?122
Kehinde Otubamowo,Amazon,Sr. NoSQL Solutions Architect,,Kehinde Otubamowo is a NoSQL Solutions Architect at Amazon Web Services(AWS). He is passionate about database modernization and enjoys sharing best practices for building cost effective database solutions that perform at scale.,https://avatars.sched.co/b/d4/14598449/avatar.jpg.320x320px.jpg?0af
Alexey Palazhchenko,FerrettDB,Founder and CTO,,"Alexey is an experienced developer and leader. He spent the last ten years working with Go at different jobs, organizing Go meetups and conferences, and making podcasts. At Percona, he led the development and architecture efforts of Percona Monitoring and Management – a best-of-breed open-source database monitoring solution. Previously, he worked on many things ranging from operating systems and industrial internet of things appliances to large distributed systems – all in Go. He enjoys traveling and public speaking.<br><br>",https://avatars.sched.co/0/a4/14619077/avatar.jpg.320x320px.jpg?077
Liquan Pei,PingCAP,Sr Software Engineer,,"Liquan Pei is currently a Senior Software Engineer, Database Kernel at PingCAP. PingCAP is founded by the team that built TiDB",https://avatars.sched.co/7/0d/11884844/avatar.jpg.320x320px.jpg?ad0
Pep Pla,Percona,Consultant,Spain,"Pep has been working with databases all his life. Born in a small village by the Mediterranean, he currently lives in Barcelona. He loves tech, traveling, good food, music and, all things NASA. He hates talking about himself in the third person and has a particular sense of humor. Happily married, he is the father of three boys and three cats.",https://avatars.sched.co/c/8f/12812283/avatar.jpg.320x320px.jpg?541
Nicolai Plum,Booking.com,Database Engineer,United Kingdom,Nicolai Plum works in the Database Engineering team of Booking.com managing database product features and service design. His previous roles at Booking.com have ranged widely from Linux systems administration team lead through storage and systems architecture to regulatory compliance and construction project management. Before Booking.com he managed UNIX systems for the Internet backbone of UUNET UK and MCI Worldcom. In his spare time he travels the world and takes pictures.,https://avatars.sched.co/a/b4/12812154/avatar.jpg.320x320px.jpg?a60
Pandit Prasad,Amazon,Principal Product Manager,,"Pandit Prasad is a Principal Product Manager at Amazon RDS. He brings with him 28 years of Hi-Tech industry experience.<br> <br>Prior to this role, he led the product management for IBM’s Db2, Big Data and Cloud portfolio of products (Monitoring, Automation and IT Analytics). Prior to that he led the global product marketing team at IBM. Earlier, as an IT Architect working for PwC and other consulting companies, he implemented ERP, CRM and Data warehouse applications for Large Enterprise including several Fortune100 companies.",https://avatars.sched.co/9/3f/14638020/avatar.jpg.320x320px.jpg?0b9
Robert Reeves,Liquibase,CTO,,"Robert leads Liquibase’s technology strategy. His is as passionate about supporting everyone he can with Liquibase as he is about punk rock and comic books. Prior to co-founding Liquibase, he was a Director at the Austin Technology Incubator and co-founded Phurnace Software, inventing their flagship product for middleware and infrastructure management. A US Army veteran, Robert holds an Economics degree from the University of Texas at Austin and an MS degree in Science and Technology Commercialization from the McCombs School of Business.",https://avatars.sched.co/7/18/12812175/avatar.jpg.320x320px.jpg?fbf
Alexander Rubin,Amazon Web Services,Sr Database Engineer,,"Alexander has over 10 years industry experience with the MySQL database and related technologies. His specialties are performance tuning, full text search, high availability, database infrastructure architecture and data warehouses. He has helped many MySQL customers design extremely high performance databases with optimized schema and queries.",https://avatars.sched.co/5/bf/12812064/avatar.jpg.320x320px.jpg?f71
Krishna Sarabu,Amazon Web Services,Sr Database Specialist SA,,"Krishna Sarabu is a Senior Database Specialist Solutions Architect with Amazon Web Services. He works with AWS RDS team, focusing on Opensource database engines RDS PostgreSQL and Aurora PostgreSQL. He has over 20 years of experience in managing commercial & open source database solutions in financial industry. He enjoys working with customers to help design, deploy, and optimize relational database workloads on AWS.",https://avatars.sched.co/7/60/14603001/avatar.jpg.320x320px.jpg?769
Alison Savage,Percona,DBA Manager,,DBA Manager for the Managed Services DBA team at Percona.,https://avatars.sched.co/0/51/14617052/avatar.jpg.320x320px.jpg?6cf
Marcos Schejtman,NetFoundry,Solution Architect,,"Security Enthusiast and Zero Trust Evangelist, and frequent speaker at security conferences. He's been working over 15 years in Information Security in different areas, helping organizations define their zero trust (Identity and Network) strategy. He has also helped companies to build their SOC, not only implementing technologies, but organizing and defining processes, people and solutions needed based on multiple requirements. Even when he's not a full-time developer, he does it for fun, focusing on secure connections, threat hunting and Incident Response.",https://avatars.sched.co/4/4a/14825889/avatar.jpg.320x320px.jpg?88f
Andreas Scherbaum,Adjust GmbH,Head of Databases,,"Andreas Scherbaum is working with PostgreSQL since 1997. He is involved in several PostgreSQL related community projects, member of the Board of Directors of the European PostgreSQL User Group and also wrote a PostgreSQL book (in German).<br>Since 2011 he was working for EMC/Greenplum/Pivotal and tackled very big databases. Nowadays he does the same - but with maybe even more and bigger databases - for Adjust GmbH in Berlin.",https://avatars.sched.co/0/9e/12197573/avatar.jpg.320x320px.jpg?043
Ann Schlemmer,Percona,President,,"Experienced professional and executive with a demonstrated history of working in the information technology and services industry. Skilled in Management, Operations, Customer Relationship Management (CRM), Open Source Databases, and Professional Services. Strong professional with a MBA focused in Entrepreneurship/Entrepreneurial Studies from Case Western Reserve University - Weatherhead School of Management.",https://avatars.sched.co/f/48/11732963/avatar.jpg.320x320px.jpg?224
Bojan Serafimov,Neon,System Software Engineer,,,https://avatars.sched.co/9/c1/14868771/avatar.jpg.320x320px.jpg?891
Daniel Seybold,benchANT,Co-Founder & Product Development,Germany,"Daniel Seybold started his career as PhD student in the  area of cloud computing with a focus on distributed databases in the cloud. Further interests cover cloud orchestration, model-driven engineering, and performance evaluations of distributed systems. After completing his PhD, Daniel co-founded the Benchmarking-as-a-Service platform benchANT, where he is responsible for the product development.",https://avatars.sched.co/b/be/14617109/avatar.jpg.320x320px.jpg?33b
Jignesh Shah,Amazon Web Services,Senior Software Development Manager,Santa Clara,"Jignesh Shah is Senior Software Development Manager for Amazon RDS  with Amazon Web Services.  At AWS, he works on open source databases PostgreSQL, MySQL and MariaDB in Amazon RDS managed database service. He has worked with PostgreSQL and open-source PostgreSQL community since 2005. He has released  application and database lifecycle products using PostgreSQL at appOrbit and VMware. He is an active member of the PostgreSQL community for a long time publishing a first standards accepted benchmark using PostgreSQL when he was at Sun Microsystems. His interests are in Cloud technologies involving Operating Systems, Containers and Databases.",https://avatars.sched.co/5/64/2888057/avatar.jpg.320x320px.jpg?714
Kushal Shah,Venmo (Paypal Inc),"MTS 2, Database Engineering",,"Kushal is MTS 2, Database Engineer at Venmo (Paypal) with focus on Database scalability and reliability. He has 8 years of experience working on relational as well as NO SQL data stores like MySQL, MongoDB, DocumentDB, DynamoDB. Prior to Venmo, he has worked as Database Engineer at Auction.com and Yahoo Inc.",https://avatars.sched.co/8/9d/14598761/avatar.jpg.320x320px.jpg?cf6
Naveed Shaikh,Percona,PostgreSQL DBA II,,My Name is Naveed Shaikh I am Perconian and working in managed services team as PostgreSQL DBA II. I have around 11 years of experience working as a PostgreSQL DBA.,https://avatars.sched.co/c/e3/14603019/avatar.jpg.320x320px.jpg?e44
Yunus Shaikh,Percona,Mysql DBA II,,"Yunus is experienced Database administrator currently working in Percona as MySQL DBA II. He lives in Mumbai, India. Always keen to explore new open source tools. ",https://avatars.sched.co/6/64/14603118/avatar.jpg.320x320px.jpg?788
Nikita Shamgunov,Neon,Founder,,"Nikita is a Founder of Neon - serverless Postgres. Nikita also is a Partner at Khosla Ventures. He is passionate about deep tech, data infrastructure, and system software.<br>Prior to Neon and Khosla Ventures, Nikita co-founded <a data-saferedirecturl=""https://www.google.com/url?q=https://www.memsql.com/&source=gmail&ust=1652399207613000&usg=AOvVaw0zmd3DeTmjH47H8cl64sWS"" href=""https://www.memsql.com/"" target=""_blank"">MemSQL</a> and served as CTO and then CEO, successfully scaling the company to over 40M in ARR and near profitability. He also worked on data infrastructure at Facebook and before that, was a systems software engineer at Microsoft SQL Server for six years.<br>Nikita graduated from St. Petersburg ITMO University in Russia with a PhD.<br><br>",https://avatars.sched.co/7/6e/14845418/avatar.jpg.320x320px.jpg?84d
Jaime Sicam,Percona,Senior Support Engineer,,"Jaime currently works as a Senior Support Engineer at Percona assisting customers in setting up, troubleshooting and tuning open source databases and related technologies. Prior to joining Percona, Jaime worked as a remote system administrator, IT consultant, and trainer. Jaime is based in the Philippines. He enjoys road trips and photography in his spare time.",https://avatars.sched.co/9/16/14603153/avatar.jpg.320x320px.jpg?90a
Jean da Silva,Percona,Support Engineer,Brazil,"Jean joined Percona as a Support Engineer in 2020. Before joining the team, he worked in a mission-critical environment for 4 years, helping administrate databases like MySQL, MongoDB, and Oracle DB. Specializing in Database Engineering, and Big Data, he likes to watch Formula 1 in his free time.",https://avatars.sched.co/6/e7/12812112/avatar.jpg.320x320px.jpg?f67
Sveta Smirnova,Percona,Principal Support Engineering Coordinator,Turkey,"Sveta Smirnova is a MySQL Support Engineer with over 10 years of experience. She currently works in Percona. Her main professional interests are problem-solving, working with tricky issues, bugs, finding patterns that can solve typical issues quicker, teaching others how to deal with MySQL issues, bugs, and gotchas effectively. She is the author of the book ""MySQL Troubleshooting"" and JSON UDF functions for MySQL. Sveta has spoken at many events, including Fosdem, Percona Live, Oracle Open World.",https://avatars.sched.co/b/1e/11701890/avatar.jpg.320x320px.jpg?f6d
Takis Stathopoulos,Percona,Pre-sales Enterprise Architect,,"<p dir=""ltr"">Takis (Panagiotis) Stathopoulos is an Enterprise Architect with Percona, working closely with Percona’s partner community, enabling customers to leverage the potential of open-source databases in the enterprise.</p><p dir=""ltr"">He has been a Senior Solution Architect with a leading Systems Integrator and a world-class Software-as-a-Service platform provider, in the areas of Enterprise Information Management, Content Management and Archiving Systems, working in complex enterprise environments across a multitude of vertical industries and institutions. He has also led the Infrastructure and DevOps team for a large-scale scientific research infrastructure delivering Open Access scientific content, architecting and operating a stack featuring DevOps and open source technologies at scale.</p><p dir=""ltr"">Takis Stathopoulos received his diploma (1999), and Ph.D. (2004), in distributed network applications, from the Electrical and Computer Engineering School of the National Technical University of Athens at 1999 and 2004 respectively. He has over 60 publications in peer-reviewed scientific journals and conferences.</p><br>",https://avatars.sched.co/a/01/14617140/avatar.jpg.320x320px.jpg?2bb
David Stokes,Percona,Technology Evangelist,,Dave Stokes is the author of MySQL & JSON - A Practical Programming Guide,https://avatars.sched.co/6/9a/14617025/avatar.jpg.320x320px.jpg?660
Kanthi Subramanian,Altinity,Open source Developer/Developer Advocate,," Kanthi has close to 2 decades of experience in software development with focus on Data Engineering(ETL/Streaming pipelines, Data warehousing) in the last 4-5 years. He has been an active open source contributor to projects such as Apache Airflow , Cassandra and others.",https://avatars.sched.co/9/80/14712228/avatar.jpg.320x320px.jpg?539
Vaidyanathan Subramanian,Flipkart,Engineering Manager,,"Vaidyanathan is an Engineering Manager at India's largest e-commerce company, Flipkart. He has close to 13 years of experience working across multiple startups and larger companies like Yahoo.<br>He has built and architected the central managed platform for MySQL in Flipkart and is currently managing three critical PaaS services - Managed Distributed SQL, Managed SQL and Managed Backup & Restore products in Flipkart.<br>In his career of 7.5 years in Flipkart, he was instrumental in recognising the various problems of independently managed MySQL clusters and solving it for Flipkart at scale.",https://avatars.sched.co/1/16/14603219/avatar.jpg.320x320px.jpg?bb0
Calvin Sun,Huawei Technologies Canada,Cloud Database Chief Architect,,"Calvin Sun is Cloud Database Chief Architect at Huawei Cloud. He has over 25 years of working experience in database industry. Calvin joined MySQL Inc. in early 2006 as development manager of storage engines. He joined the InnoDB team at Oracle in early 2008 and managed the InnoDB development there till 2013, when he joined Twitter storage team. Calvin joined Huawei Technologies Canada in October 2017.",https://avatars.sched.co/3/f0/14617089/avatar.jpg.320x320px.jpg?a3e
Ananias Tsalouchidis,Percona,Principal DBA,,Ananias is a Principal MySQL DBA who joined Percona on May 2017.<br>He holds a BSc and a MSc in computer science and has a 10+ years working experience as a systems and databases administrator.<br>He loves databases and perl scripting. He has worked for some big Greek companies and academic institutions and has also been involved in numerous research programs.<br><br>He is located in Greece.,https://avatars.sched.co/b/80/14598542/avatar.jpg.320x320px.jpg?35a
Avinash Vallarapu,MigOps,CEO and Database Performance Tech Lead,,"Avinash Vallarapu (Avi) is the CEO of MigOps (a company specializing in Migrations to PostgreSQL and PostgreSQL Consulting). Before joining MigOps, Avi worked as a Global Services Tech Lead for PostgreSQL services at Percona, Database Architect at OpenSCG, and Dell International Services. Avi has great expertise in PostgreSQL Administration and Migrations to PostgreSQL for more than 15 Years. He has been a Speaker at numerous PostgreSQL conferences and has also written multiple books on PostgreSQL. He loves to help Customers migrate to Open Source and eliminate the clutches of vendor lock-in.",https://avatars.sched.co/b/85/14598566/avatar.jpg.320x320px.jpg?1cc
Josh Varner,Shopify,Core MySQL Lead,,"Josh Varner leads the Core MySQL team at Shopify, which is responsible for the thousands of MySQL instances that power Shopify. He's been working with infrastructure and databases for 23 years, previously leading teams or building infrastructure at Slack, SurveyMonkey, and Twitter. Outside of work, Josh spends time with his wife and his daughter, flies airplanes, and pretends to be a good cook.",https://avatars.sched.co/d/b4/14598701/avatar.jpg.320x320px.jpg?9c5
Rick Vasquez,Western Digital,Senior Director - Strategic Initiatives,,An experienced technologist who has been hands-on in solving data problems for as long as I can remember. Currently working on changing the way we use storage in the datacenter.,https://avatars.sched.co/3/8e/14598501/avatar.jpg.320x320px.jpg?8c7
Prasad Venkatachar,Pliops,Sr Director - Solutions -Technical Marketing,,"Prasad Venkatachar is an experienced database and analytics professional with 20 years of combined experience in Product Management/Marketing & Solution Architecture. In these 20 years of progressive experience served several fortune 500 enterprise customers to deliver business value outcomes through multi-database & big Data Solutions on both Cloud & data center environments. Prasad leads solution & tech marketing at Pliops. Before Joining Pliops, he worked at Lenovo, Hewlett Packard Enterprise, SanDisk, and i2 Technologies. He holds Database (Oracle, Microsoft, IBM) and several cloud ( Azure, AWS & GCP ) certifications.<br>He received Batchelor's Degree from Bangalore University and MBA from JWMI Management Institue.",https://avatars.sched.co/b/a1/14598473/avatar.jpg.320x320px.jpg?34b
Michael Widenius,,Founder of MySQL,,,https://avatars.sched.co/d/d8/14877297/avatar.jpg.320x320px.jpg?a76
Kimberly Wilkins,Percona,NoSQL Tech lead - MongoDB,USA,"Kimberly Wilkins is the MongoDB Technical Lead at Percona with 20+ years of experience managing and architecting databases<br>Kimberly has been a Principal Engineer, a solutions architect, a manager, and a DBA. During those roles she has built out and managed expert database teams across multiple data store offerings over her database years. She has worked with Oracle and MongoDB customers of all sizes in many industries and helped them architect, deploy, troubleshoot, and tune their databases to handle heavy workloads and keep their applications running. She specializes in MongoDB sharding to help customers scale and thrive as their businesses grow in today’s big data world. Kimberly enjoys sharing her experiences at technical conferences in the US and abroad. Why? Because after all, “there is no perfect shard key” and there is always more to learn.",https://avatars.sched.co/e/b4/11716389/avatar.jpg.320x320px.jpg?85e
Peter Zaitsev,Percona,CEO,,"Peter Zaitsev co-founded Percona and assumed the role of CEO in 2006. As one of the foremost experts on MySQL strategy and optimization, Peter leveraged both his technical vision and entrepreneurial skills to grow Percona from a two-person shop to one of the most respected open source companies in the business. With over 200 professionals in 30-plus countries, Peter’s venture now serves over 3000 customers – including the “who’s who” of internet giants, large enterprises, and many exciting startups. Percona was named the Inc. 5000 in 2013, 2014, 2015, and 2016. Peter was an early employee at MySQL AB, eventually leading the company’s High Performance Group. A serial entrepreneur, Peter co-founded his first startup while attending Moscow State University where he majored in Computer Science. Peter is a co-author of High Performance MySQL: Optimization, Backups, and Replication, one of the most popular books on MySQL performance. Peter frequently speaks as an expert lecturer at MySQL and related conferences, and regularly posts on the Percona Database Performance Blog. He has also been tapped as a contributor to Fortune and DZone, and his recent ebook Practical MySQL Performance Optimization Volume 1 is one of <a data-remove-tab-index=""true"" data-sk=""tooltip_parent"" data-stringify-link=""http://percona.com"" href=""http://percona.com/"" rel=""noopener noreferrer"" tabindex=""-1"" target=""_blank"">percona.com</a>’s most popular downloads. Peter lives in North Carolina with his wife and two children. In his spare time, Peter enjoys traveling and spending time outdoors.",https://avatars.sched.co/5/f3/14619323/avatar.jpg.320x320px.jpg?25b